Country;Date;Refugees from Ukraine registered for Temporary Protection or similar national protection schemes;Refugees from Ukraine recorded in country
United Kingdom;08/08/22;111900;111900
Türkiye;05/19/22;Not applicable;145000
Switzerland;08/16/22;59431;60461
Sweden;08/16/22;42250;44107
Spain;08/15/22;133820;133913
Slovenia;08/16/22;7200;7200
Serbia and Kosovo: S/RES/1244 (1999);08/16/22;906;15983
Portugal;08/10/22;49623;49718
Norway;08/16/22;23263;23263
North Macedonia;08/17/22;Not applicable;3296
Netherlands;07/05/22;68050;68050
Montenegro;08/08/22;5912;9614
Malta;08/07/22;1284;1373
Luxembourg;08/16/22;6263;6263
Lithuania;08/16/22;62444;62444
Liechtenstein;08/16/22;272;272
Latvia;08/16/22;37496;36449
Italy;08/16/22;150261;159968
Ireland;08/15/22;48672;45074
Iceland;08/16/22;1500;1500
Greece;08/14/22;18363;18363
Germany;08/13/22;670000;971000
Georgia;08/16/22;Not applicable;25670
France;08/09/22;96520;96520
Finland;08/16/22;35240;35240
Estonia;08/16/22;32077;50491
Denmark;08/16/22;31000;33000
Czech Republic;08/16/22;412959;413121
Cyprus;08/08/22;14989;13113
Croatia;08/09/22;16828;16829
Bulgaria;08/16/22;129437;86722
Bosnia and Herzegovina;08/14/22;Not applicable;218
Belgium;08/16/22;52245;52870
Azerbaijan;08/09/22;Not applicable;4639
Austria;08/16/22;78158;78158
Armenia;08/16/22;Not applicable;489
Albania;08/16/22;Not applicable;2780
